director,num_movies_directed,total_revenue,mean_rating
Anthony Russo,1,2799.44,8.237
Bill Condon,1,1266.12,6.971
Brad Bird,1,1242.81,7.454
Chris Buck,1,1274.22,7.247
Colin Trevorrow,1,1671.54,6.693
David Yates,1,1341.51,8.087
J.A. Bayona,1,1310.47,6.537
J.J. Abrams,1,2068.22,7.261
James Cameron,2,5187.87,7.747
James Wan,1,1515.4,7.225
Jennifer Lee,1,1453.68,7.25
Joe Russo,1,2052.42,8.235
Jon Favreau,1,1662.02,7.1
Joss Whedon,2,2924.2200000000003,7.505
Rian Johnson,1,1332.7,6.8
Ryan Coogler,1,1349.93,7.373
