id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,cast,cast_size,director,crew_size
299534,Avengers: Endgame,Avenge the fallen.,2019-04-24,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}", | English | 日本語,356.0,2799.44,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",26200,8.238,22.6136,181,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Xhosa', 'iso_639_1': 'xh', 'name': ''}]",/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,Robert Downey Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | Scarlett Johansson | Jeremy Renner | Josh Brolin | Don Cheadle | Paul Rudd | Benedict Cumberbatch | Chadwick Boseman | Brie Larson | Tom Holland | Karen Gillan | Zoe Saldaña | Evangeline Lilly | Tessa Thompson | Rene Russo | Elizabeth Olsen | Anthony Mackie | Sebastian Stan | Tom Hiddleston | Danai Gurira | Benedict Wong | Pom Klementieff | Dave Bautista | Letitia Wright | John Slattery | Tilda Swinton | Jon Favreau | Hayley Atwell | Natalie Portman | Marisa Tomei | Taika Waititi | Angela Bassett | Michael Douglas | Michelle Pfeiffer | William Hurt | Cobie Smulders | Sean Gunn | Winston Duke | Linda Cardellini | Maximiliano Hernández | Frank Grillo | Hiroyuki Sanada | Tom Vaughan-Lawlor | James D'Arcy | Jacob Batalon | Vin Diesel | Bradley Cooper | Gwyneth Paltrow | Robert Redford | Chris Pratt | Samuel L. Jackson | Lexi Rabe | Ross Marquand | Joe Russo | Emma Fuhrmann | Michael James Shaw | Terry Notary | Kerry Condon | Ben Sakamoto | Ava Russo | Cade Woodward | Stan Lee | Yvette Nicole Brown | Callan Mulvey | Lia Mariella Russo | Julian Russo | Taylor Patterson | Agostino Rosalina | Ken Jeong | Ty Simpkins | Jackson A. Dunn | Lee Moore | Bazlo LeClair | Loen LeClair | Matthew Berry | Joy McAvoy | John Michael Morris | Michael A. Cook | Brent McGee | Brian Schaeffer | Jamie Wedel | Anthony G Breed | Erica Ribley | Monique Ganderton | Jim Starlin | Jimmy Ray Pickens | Hye Jin Jang | Russell Bobbitt | James Lin | Jack Champion | Sam Hargrave | Patrick Gorman | Aaron Lazar | Robert Pralgo | Tom Wisdom | John Posey | Ameenah Kaplan | Olaniyan Thurmon | Jennifer Elmore | Mike Lutz | Donald Mustard | Robert Tinsley,105,Joe Russo,593
19995,Avatar,Enter the world of Pandora.,2009-12-15,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]","{'id': 87096, 'name': 'Avatar Collection', 'poster_path': '/3C5brXxnBxfkeKWwA1Fh4xvy4wr.jpg', 'backdrop_path': '/gxnvX9kF7RRUQYvB52dMLPgeJkt.jpg'}",English | Español,237.0,2923.71,"[{'id': 444, 'logo_path': None, 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/nLNW1TeFUYU0M5U0qmYUzOIwlB6.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 290, 'logo_path': '/jrgCuaQsY9ouP5ILZf4Dq4ZOkIX.png', 'name': 'Ingenious Media', 'origin_country': 'GB'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",32104,7.587,33.5372,162,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Sam Worthington | Zoe Saldaña | Sigourney Weaver | Stephen Lang | Michelle Rodriguez | Giovanni Ribisi | Joel David Moore | CCH Pounder | Wes Studi | Laz Alonso | Dileep Rao | Matt Gerald | Sean Anthony Moran | Jason Whyte | Scott Lawrence | Kelly Kilgour | James Patrick Pitt | Sean Patrick Murphy | Peter Dillon | Kevin Dorman | Kelson Henderson | David Van Horn | Jacob Tomuri | Michael Blain-Rozgay | Jon Curry | Julene Renee | Luke Hawker | Woody Schultz | Peter Mensah | Sonia Yee | Jahnel Curfman | Ilram Choi | Kyla Warren | Lisa Roumain | Debra Wilson | Taylor Kibby | Jodie Landau | Chris Mala | Julie Lamm | Cullen B. Madden | Joseph Brady Madden | Frankie Torres | Austin Wilson | Sara Wilson | Tamica Washington-Miller | Lucy Briant | Nathan Meister | Gerry Blair | Matthew Chamberlain | Paul Yates | Wray Wilson | James Gaylyn | Melvin Leno Clark III | Carvon Futrell | Brandon Jelkes | Micah Moch | Haniyyah Tahirah | Christopher Nolen | Christa Oliver | April Marie Thomas | Bravita A. Threatt | Alicia Vela-Bailey | Larry Rew | Dina Morrone | Rodney Cook,65,James Cameron,986
140607,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/aSrMJYmQX8kpF26LijkCsYhBMvm.jpg', 'backdrop_path': '/zZDkgOmFMVYpGAkR9Tkxw0CRnxX.jpg'}",English,245.0,2068.22,"[{'id': 1, 'logo_path': '/tlVSws0RvvtPBwViUyOFAO0vcQS.png', 'name': 'Lucasfilm Ltd.', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",19661,7.262,13.3565,136,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Harrison Ford | Mark Hamill | Carrie Fisher | Adam Driver | Daisy Ridley | John Boyega | Oscar Isaac | Lupita Nyong'o | Andy Serkis | Domhnall Gleeson | Anthony Daniels | Max von Sydow | Peter Mayhew | Gwendoline Christie | Joonas Suotamo | Pip Andersen | Simon Pegg | Kiran Shah | Sasha Frost | Pip Torrens | Andrew Jack | Rocky Marshall | Greg Grunberg | Emun Elliott | Brian Vernel | Yayan Ruhian | Sebastian Armesto | Maisie Richardson-Sellers | Warwick Davis | Cailey Fleming | Mark Stanley | Ken Leung | Iko Uwais | Anna Brewster | Harriet Walter | Tim Rose | Erik Bauersfeld | Mike Quinn | Bill Kipsang Rotich | Michael Giacchino | Nigel Godrich | Judah Friedlander | Victor McGuire | Miltos Yerolemou | Billie Lourd | Leanne Best | Crystal Clarke | Jeffery Kissoon | Claudia Sermbezis | Gerald W. Abrams | Jim McGrath | Philicia Saunders | Morgan Dameron | Jessica Henwick | Tosin Cole | James McArdle | Stefan Grube | Dixie Arnold | Hannah John-Kamen | Kate Fleetwood | Thomas Brodie-Sangster | Brian Herring | Dave Chapman | Jimmy Vee | Cecep Arif Rahman | Ian Whyte | Daniel Craig | Ewan McGregor | Frank Oz | Alec Guinness | Tom Kane | Catherine Taber | Matthew Wood | Sam Witwer | Meredith Salenger | James Arnold Taylor | Michael Donovan | Devon Libran | Robert Stambler | Verona Blue | Fred Tatasciore | Patrick Correll | Karen Huie | Orly Schuchmacher | Ben Schwartz | Mark Dodson | Liang Yang | David Acord | Jamie B. Chambers | David M. Santana | Francesca Longrigg | D.C. Barns | Tom Edden | Richard Riddell | Jefferson Hall | Jack Laskey | Daniel Adjei | Charlie Akin | Adrian Allan | Samantha Alleyne | Paul Biddiss | Hannah Blamires | Rony Bridges | Stuart Budd | Calvin Chen | Alan Chimes | Jamie Clay | David W. Collins | Cavin Cornwall | Rowan Cox | Nathalie Cuzner | Rimmel Daniel | Keith De'Winter | Adrian Derrick-Palmer | Cameron Edwards | Jesse Michael Fullington | Gloria Garcia | Salo Gardner | Caroline Garnell | Chris Geden | Versha Grant | Steven James Griffiths | Gary Hailes | Tim Hammersley | Chris Hastings | Marina Hayter | Kelvin Hewlett | Matthew Hobbs | Phil Hodges | Leigh Holland | Kevin Hudson | Phoenix James | Zander James | Tobias James-Samuels | Paul Kasey | Aaron Kennedy | Aidan Knight | Sanj Krishnan | Lukas Landau | Andrei Lenart | Jorge Leon | Julia Leyland | Billy James Machin | Hamza Malik | Raymond Mamrak | Kelsey Edwards | Kenny-Lee Mbanefo | David McCarrison | Sandeep Mohan | Benjayx Murphy | Robert Strange | Charlie Nevett | Jason Nicholls | Terry Noble | David Norfolk | Tatsujiro Oto | Gillian Pittaway | Nathan Plant | Elroy Powell | Jay Rincon | Marc Rolfe | Julio Romeo | Arti Shah | Kat Sheridan | Stephanie Silva | Jasper Skinner | Sandy Kate Slade | Clem So | Benito Sovrano | Karol Steele | François Sternkiker | Frank Stone | Andy Sweet | Peter Theobalds | Pablo Verdejo | Ashley Ward | Paul Warren | Topo Wresniwiro | Joshua Ásberg | Joe Cash | Clare Glass | Kevin Smith,182,J.J. Abrams,257
299536,Avengers: Infinity War,Destiny arrives all the same.,2018-04-25,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}", | English,300.0,2052.42,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",30380,8.236,35.5559,149,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Xhosa', 'iso_639_1': 'xh', 'name': ''}]",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Robert Downey Jr. | Chris Evans | Chris Hemsworth | Josh Brolin | Mark Ruffalo | Scarlett Johansson | Don Cheadle | Benedict Cumberbatch | Tom Holland | Chadwick Boseman | Zoe Saldaña | Karen Gillan | Tom Hiddleston | Paul Bettany | Elizabeth Olsen | Anthony Mackie | Sebastian Stan | Idris Elba | Danai Gurira | Peter Dinklage | Benedict Wong | Pom Klementieff | Dave Bautista | Vin Diesel | Bradley Cooper | Chris Pratt | Gwyneth Paltrow | Benicio del Toro | Sean Gunn | William Hurt | Letitia Wright | Terry Notary | Tom Vaughan-Lawlor | Carrie Coon | Michael James Shaw | Stan Lee | Winston Duke | Florence Kasumba | Kerry Condon | Monique Ganderton | Jacob Batalon | Tiffany Espensen | Isabella Amara | Ethan Dizon | Ariana Greenblatt | Ameenah Kaplan | Ross Marquand | Michael Anthony Rogers | Stephen McFeely | Aaron Lazar | Robert Pralgo | Olaniyan Thurmon | Blair Jasin | Matthew Zuk | Laura Miller | Kenneth Branagh | Samuel L. Jackson | Cobie Smulders | Harrison Osterfield | Gary Peebles | Marija Abney | Zola Williams | Marie Mouroum | James Siderits | Precious Jenkins | Bobby James | Lady Cardinal | Tanya Wheelock | Robert Tinsley,69,Anthony Russo,724
597,Titanic,Nothing on Earth could come between them.,1997-11-18,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",{},Deutsch | English | Français | Italiano | Pусский | svenska,200.0,2264.16,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/nLNW1TeFUYU0M5U0qmYUzOIwlB6.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",25862,7.905,32.0193,194,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Swedish', 'iso_639_1': 'sv', 'name': 'svenska'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Leonardo DiCaprio | Kate Winslet | Billy Zane | Kathy Bates | Frances Fisher | Gloria Stuart | Victor Garber | Bill Paxton | Bernard Hill | David Warner | Jonathan Hyde | Lewis Abernathy | Suzy Amis | Danny Nucci | Nicholas Cascone | Jason Barry | Lew Palter | Eric Braeden | Ewan Stewart | Bernard Fox | Ioan Gruffudd | Jonny Phillips | Edward Fletcher | Scott G. Anderson | Martin East | Gregory Cooke | Alexandrea Owens | Seth Adkins | Michael Ensign | Anatoly M. Sagalevitch | Martin Hub | Mark Lindsay Chapman | Richard Graham | Paul Brightwell | Craig Kelly | Ron Donachie | Charlotte Chatton | Fannie Brett | Jenette Goldstein | Camilla Overbye Roos | Linda Kerns | Amy Gaipa | Martin Jarvis | Rosalind Ayres | Rochelle Rose | Jonathan Evans-Jones | Rocky Taylor | Liam Tuohy | Simon Crane | James Lancaster | Elsa Raven | Reece P. Thompson III | Laramie Landis | Mark Rafael Truitt | John Walcutt | Terry Forrestal | Derek Lea | Richard Ashton | Sean Nepita | Brendan Connolly | David Cronnelly | Garth Wilton | Richard Fox | Nick Meaney | Kevin Owers | Mark Capri | Marc Cass | Paul Herbert | Emmett James | Chris Byrne | Oliver Page | James Garrett | Erik Holland | Jari Kinnunen | Anders Falk | Barry Dennen | Vern Urich | Rebecca Klingler | Tricia O'Neil | Kathleen S. Dunn | Romeo Francis | Mandana Marino | Van Ling | Bjørn Olsen | Dan Pettersson | Shay Duffin | Greg Ellis | Diana Morgan | Kris Andersson | Bobbie Bates | Aaron James Cash | Anne Fletcher | Edmond Alan Forsyth | Andie Hicks | Scott Hislop | Stan Mazin | Lisa Ratzin | Julene Renee | Brian Walsh | Alexandra Boyd | James Cameron | Mike Butters | Kevin De La Noy | Tony Kenny | Sean Lawlor | Don Lynch | Johnny Martin | Meghan McLeod | Steven Quale | R. Gern Trowbridge | Olivia Rosewood | John Slade | Brian McDermott | Bret Aaron Knower | Martin Laing | Rebecca Klinger,116,James Cameron,258
135397,Jurassic World,The park is open.,2015-06-06,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/njFixYzIxX8jsn6KMSEtAzi4avi.jpg'}",English,150.0,1671.54,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",20620,6.692,16.0248,124,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Chris Pratt | Bryce Dallas Howard | Irrfan Khan | Vincent D'Onofrio | Ty Simpkins | Nick Robinson | Jake Johnson | Omar Sy | BD Wong | Judy Greer | Lauren Lapkus | Brian Tee | Katie McGrath | Andy Buckley | Eric Edelstein | Courtney James Clark | Colby Boothman-Shepard | Jimmy Fallon | James DuMont | Matt Burke | Anna Talakkottur | Matthew Cardarople | Michael Papajohn | William Gary Smith | Kelly Washington | Isaac Keys | Patrick Crowley | Chad Randall | Gary Weeks | Bill Ogilvie | Allan Tam | Yvonne Angulo | Chloe Perrin | Timothy Eulich | Kevin Foster | Bonnie Wild | Brad Bird | Colin Trevorrow | Justin Lacalamita | Tiffany Forest | Arlene Newman | Tait Fletcher | Jimmy Buffett | Tim Connolly | Johnny Otto | Erika Erica | Brandon Marc Higa | Martin Klebba | Eddie J. Fernandez | Rob Fuller | Julia Holt | Brandon Richardson,52,Colin Trevorrow,423
420818,The Lion King,The king has returned.,2019-07-12,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]","{'id': 762512, 'name': 'The Lion King (Reboot) Collection', 'poster_path': '/dGpIRn4Nqi63JO1RlKxjcPbQSAw.jpg', 'backdrop_path': '/1KeXF239BkqLChcAcF8gKl1stZz.jpg'}",English,260.0,1662.02,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 7297, 'logo_path': '/l29JYQVZbTcjZXoz4CUYFpKRmM3.png', 'name': 'Fairview Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10299,7.11,22.6761,118,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,Chiwetel Ejiofor | John Oliver | Donald Glover | James Earl Jones | John Kani | Alfre Woodard | Beyoncé | JD McCrary | Shahadi Wright Joseph | Penny Johnson Jerald | Keegan-Michael Key | Eric André | Florence Kasumba | Seth Rogen | Billy Eichner | Amy Sedaris | Chance the Rapper | Josh McCrary | Phil LaMarr | J. Lee,20,Jon Favreau,44
24428,The Avengers,Some assembly required.,2012-04-25,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",English | Pусский | हिन्दी,220.0,1518.82,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",31498,7.734,35.3602,143,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Robert Downey Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | Scarlett Johansson | Jeremy Renner | Tom Hiddleston | Clark Gregg | Cobie Smulders | Stellan Skarsgård | Samuel L. Jackson | Gwyneth Paltrow | Paul Bettany | Alexis Denisof | Tina Benko | Jerzy Skolimowski | Kirill Nikiforov | Jeff Wolfe | M'laah Kaur Singh | Rashmi Rustagi | Powers Boothe | Jenny Agutter | Arthur Darbinyan | Donald Li | Warren Kole | Alicia Sixtos | Jesse Garcia | Maximiliano Hernández | Dieter Riesle | Kenneth Tigar | Walter Perez | Harry Dean Stanton | Josh Cowdery | Ashley Johnson | Katsumi Komatsu | Yumiko Komatsu | Momoko Komatsu | Robert Clohessy | Enver Gjokaj | Fernanda Toker | Andrea Vecchio | Robin Swoboda | Brent McGee | Jamie McShane | Michael Zhang | William-Christopher Stephens | Kelley Robins Hicks | Romy Rosemont | James Eckhouse | Stan Lee | Thomas Roberts | Pat Kiernan | Damion Poitier | Lou Ferrigno | Jillian Morgese | Catherine Anderson | Ricardo Andres | Logan Bennett | Mayank Bhatter | Sharita Bone | Jason Botsford | Mary Kate Campbell | Gene N. Chavez | Layla Cushman | Robert Dean | Rick Dremann | Rod Fielder | Eric Frank | Israel Hall | Carmen Dee Harris | Alexander Christopher Jones | Mike Karban | Demoine Kinney | Andrew Knode | Annette Lawless | Kimberly J. Mahoney | Todd Manes | Jorge Mardel | Michael McMillan | Sean Meehan | Holly Neelie | Caleb Daniel Noal | Jeremy Orr | Nate Paige | Martin Palmer | Maria Perossa | Caleb Pieplow | Alexander Daniel Pimentel | Frank Powers | Jaime Powers | Brent Reichert | Kelly Ruble | Gina Sarno | Robert B. Schneider IV | Jeff Seich | Christina Shaffer | Douglas Slygh | Colin Strause | Robert P. Thitoff | George Thomas | Shane Thompson | Jerry Lee Tucker | Tai Urban | Chris Vaina | Sandra Weston | Seth Zielicke | Alex DeCourville | Andrea-Nichole Olivas | Tina Grimm | Evan Kole | Hank Amos | Joti Nagra,112,Joss Whedon,631
168259,Furious 7,Vengeance hits home.,2015-04-01,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","{'id': 9485, 'name': 'The Fast and the Furious Collection', 'poster_path': '/zOCnMPoUxgJK1RFPfN4PcnT16gr.jpg', 'backdrop_path': '/z5A5W3WYJc3UVEWljSGwdjDgQ0j.jpg'}",English | Español | العربية | ภาษาไทย,190.0,1515.4,"[{'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 1225, 'logo_path': '/rIxhJMR7oK8b2fMakmTfRLY2TZv.png', 'name': 'One Race', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10758,7.2,14.8135,137,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Thai', 'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",/wurKlC3VKUgcfsn0K51MJYEleS2.jpg,Vin Diesel | Paul Walker | Jason Statham | Michelle Rodriguez | Jordana Brewster | Tyrese Gibson | Ludacris | Dwayne Johnson | Lucas Black | Kurt Russell | Nathalie Emmanuel | Elsa Pataky | John Brotherton | Luke Evans | Tony Jaa | Djimon Hounsou | Noel Gugliemi | Ali Fazal | Sung Kang | Ronda Rousey | Miller Kimsey | Charlie Kimsey | Eden Estrella | Gentry White | Iggy Azalea | Jon Lee Brody | Levy Tran | Anna Colwell | Viktor Hernandez | Steve Coulter | Robert Pralgo | Antwan Mills | J.J. Gonzalez | Jorge Ferragut | Sara Sohn | Benjamin Blankenship | D.J. Hapa | T-Pain | Brian Mahoney | Brittney Alger | Romeo Santos | Jocelin Donahue | Stephanie Langston | Jorge-Luis Pallo | Nathalie Kelley | Shad Moss | Caleb Walker | Cody Walker,48,James Wan,222
99861,Avengers: Age of Ultron,A new age has come.,2015-04-22,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","{'id': 86311, 'name': 'The Avengers Collection', 'poster_path': '/yFSIUVTCvgYrpalUktulvk3Gi5Y.jpg', 'backdrop_path': '/zuW6fOiusv4X9nnW3paHGfXcSll.jpg'}",English,365.0,1405.4,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",23341,7.271,18.1649,141,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Robert Downey Jr. | Chris Hemsworth | Mark Ruffalo | Chris Evans | Scarlett Johansson | Jeremy Renner | James Spader | Samuel L. Jackson | Don Cheadle | Aaron Taylor-Johnson | Elizabeth Olsen | Paul Bettany | Cobie Smulders | Anthony Mackie | Hayley Atwell | Idris Elba | Linda Cardellini | Stellan Skarsgård | Claudia Kim | Thomas Kretschmann | Andy Serkis | Julie Delpy | Stan Lee | Henry Goodman | Chris Luca | Brian Schaeffer | Dominique Provost-Chalkley | Isaac Andrews | Gareth Kieran Jones | Chan Woo Lim | Minhee Yeo | Bentley Kalu | Julian Bleach | Christopher Beasley | Vuyo Dabula | Nondumiso Tembe | Kabelo Thai | Lele Ledwaba | Mandla Gaduka | Harriet Manamela | Beulah Hashe | Musca Kumalo | Mathapelo September | Antony Acheampong | Chioma Anyanwu | Ben Sakamoto | Imogen Poynton | Isabella Poynton | Ingvild Deila | Sunny Yeo | Namju Go | Mina Kweon | Earl T. Kim | Arthur Lee | Verity Hewlett | Michael Matovski | Alma Noce | Riccardo Richetta | Constanza Ruff | Monty Mclaren-Clark | Julia Krynke | Tony Christian | Ian Kay | Barry Aird | Aaron Himelstein | Kerry Condon | Jaiden Stafford | Josh Brolin | Robert J. Fraser | Lou Ferrigno | Zakk Pierce | Avinashi Sharma,72,Joss Whedon,636
