Customer_id,Product_id,Product_category,Payment_type,Device_Type,Event_date
CUST-190982,Prod_189982,Beauty,Momo,Mobile,Addtocart,10-06-2020
CUST-190983,Prod_189983,Beauty,Paypal,Desktop,Purchase,11-05-2024
CUST-190984,Prod_189984,Electronics,Visa Card,Mobile,Addtocart,20-03-2024
CUST-190985,Prod_189985,Accessories,Momo,Mobile,Addtocart,09-02-2025
CUST-190986,Prod_189986,Books,Paypal,Mobile,Addtocart,18-05-2024
CUST-190987,Prod_189987,Books,Visa Card,Mobile,Addtocart,19-02-2020
CUST-190988,Prod_189988,Electronics,Paypal,Mobile,Purchase,26-05-2023
CUST-190989,Prod_189989,Furniture,Momo,Desktop,Addtocart,09-12-2022
CUST-190990,Prod_189990,Books,Paypal,Desktop,Purchase,09-05-2022
CUST-190991,Prod_189991,Accessories,Visa Card,Desktop,Addtocart,09-09-2020
CUST-190992,Prod_189992,Electronics,Paypal,Desktop,Purchase,25-12-2023
CUST-190993,Prod_189993,Books,Paypal,Mobile,Addtocart,03-08-2023
CUST-190994,Prod_189994,Furniture,Momo,Desktop,Addtocart,21-09-2020
CUST-190995,Prod_189995,Furniture,Visa Card,Desktop,Purchase,07-01-2020
CUST-190996,Prod_189996,Hardware,Visa Card,Desktop,Purchase,25-10-2021
CUST-190997,Prod_189997,Furniture,Momo,Mobile,Purchase,23-04-2024
CUST-190998,Prod_189998,Electronics,Paypal,Mobile,Purchase,21-11-2022
CUST-190999,Prod_189999,Clothes,Momo,Desktop,Addtocart,10-12-2022
CUST-191000,Prod_190000,Electronics,Visa Card,Desktop,Addtocart,21-06-2020
CUST-191001,Prod_190001,Clothes,Visa Card,Desktop,Addtocart,07-11-2021
CUST-191002,Prod_190002,Accessories,Paypal,Mobile,Addtocart,02-01-2020
CUST-191003,Prod_190003,Electronics,Visa Card,Desktop,Addtocart,25-05-2022
CUST-191004,Prod_190004,Electronics,Visa Card,Desktop,Purchase,25-10-2021
CUST-191005,Prod_190005,Beauty,Paypal,Mobile,Purchase,24-08-2022
CUST-191006,Prod_190006,Books,Momo,Desktop,Addtocart,20-12-2023
CUST-191007,Prod_190007,Furniture,Paypal,Mobile,Addtocart,12-05-2024
CUST-191008,Prod_190008,Books,Visa Card,Mobile,Addtocart,31-01-2021
CUST-191009,Prod_190009,Electronics,Paypal,Mobile,Purchase,05-06-2022
CUST-191010,Prod_190010,Beauty,Visa Card,Desktop,Purchase,20-07-2023
CUST-191011,Prod_190011,Accessories,Paypal,Desktop,Purchase,23-09-2020
CUST-191012,Prod_190012,Clothes,Paypal,Desktop,Addtocart,26-08-2020
CUST-191013,Prod_190013,Hardware,Visa Card,Desktop,Addtocart,02-12-2022
CUST-191014,Prod_190014,Electronics,Paypal,Desktop,Purchase,14-01-2022
CUST-191015,Prod_190015,Hardware,Momo,Desktop,Purchase,04-03-2024
CUST-191016,Prod_190016,Books,Visa Card,Mobile,Addtocart,10-05-2022
CUST-191017,Prod_190017,Accessories,Visa Card,Desktop,Addtocart,27-01-2025
CUST-191018,Prod_190018,Accessories,Momo,Desktop,Addtocart,02-01-2021
CUST-191019,Prod_190019,Books,Paypal,Desktop,Purchase,22-11-2023
CUST-191020,Prod_190020,Accessories,Momo,Desktop,Purchase,06-04-2023
CUST-191021,Prod_190021,Beauty,Visa Card,Desktop,Purchase,19-12-2023
CUST-191022,Prod_190022,Electronics,Momo,Mobile,Purchase,28-02-2022
CUST-191023,Prod_190023,Beauty,Visa Card,Mobile,Addtocart,24-10-2021
CUST-191024,Prod_190024,Clothes,Momo,Mobile,Addtocart,16-08-2024
CUST-191025,Prod_190025,Accessories,Visa Card,Mobile,Purchase,02-12-2022
CUST-191026,Prod_190026,Accessories,Visa Card,Mobile,Addtocart,18-06-2022
CUST-191027,Prod_190027,Clothes,Visa Card,Mobile,Addtocart,08-03-2025
CUST-191028,Prod_190028,Beauty,Visa Card,Desktop,Addtocart,29-12-2020
CUST-191029,Prod_190029,Hardware,Visa Card,Desktop,Addtocart,08-08-2022
CUST-191030,Prod_190030,Accessories,Momo,Mobile,Addtocart,20-10-2023
CUST-191031,Prod_190031,Clothes,Momo,Mobile,Addtocart,13-10-2020
